# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Sun Nov 13 15:10:53 CET 2022
# PARSEC isochrones, release v1.0 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 6.60000 2.3448691368 2.5807598566    2.344  1.629  3.9268  3.838    0 0.698 0.850 0.776 0.683 0.631 0.587 0.528 0.495 0.487
0.0152 0.01508 6.60000 2.3586251736 2.5811626935    2.357  1.658  3.9405  3.867    0 0.625 0.759 0.704 0.642 0.609 0.582 0.544 0.524 0.518
0.0152 0.01508 6.60000 2.3724832535 2.5815630915    2.371  1.685  3.9544  3.897    0 0.556 0.676 0.650 0.614 0.597 0.584 0.566 0.556 0.554
0.0152 0.01508 6.60000 2.3759882450 2.5816635096    2.375  1.692  3.9579  3.905    0 0.539 0.656 0.639 0.609 0.595 0.585 0.572 0.565 0.563
0.0152 0.01508 6.60000 2.3831748962 2.5818683456    2.382  1.705  3.9649  3.921    0 0.507 0.621 0.620 0.603 0.594 0.591 0.588 0.585 0.584
0.0152 0.01508 6.60000 2.3980634212 2.5822882136    2.397  1.728  3.9789  3.957    0 0.450 0.562 0.598 0.602 0.604 0.611 0.625 0.630 0.633
0.0152 0.01508 6.60000 2.4000000954 2.5823423892    2.399  1.730  3.9804  3.962    0 0.446 0.558 0.598 0.604 0.607 0.615 0.632 0.637 0.640
0.0152 0.01508 6.60000 2.4150509834 2.5827600120    2.414  1.742  3.9923  4.000    0 0.414 0.530 0.604 0.625 0.635 0.651 0.682 0.693 0.699
0.0152 0.01508 6.60000 2.4403426647 2.5834484663    2.440  1.726  4.0029  4.063    0 0.454 0.579 0.683 0.714 0.729 0.751 0.794 0.809 0.819
0.0152 0.01508 6.60000 2.4574897289 2.5839059612    2.457  1.697  4.0047  4.102    0 0.528 0.656 0.765 0.796 0.811 0.835 0.880 0.896 0.906
0.0152 0.01508 6.60000 2.4709711075 2.5842605305    2.470  1.667  4.0035  4.130    0 0.602 0.732 0.837 0.865 0.880 0.903 0.946 0.962 0.972
0.0152 0.01508 6.60000 2.4838566780 2.5845952957    2.483  1.638  4.0013  4.152    0 0.675 0.805 0.903 0.926 0.940 0.962 1.003 1.017 1.026
0.0152 0.01508 6.60000 2.4976398945 2.5849489883    2.497  1.613  3.9989  4.170    0 0.739 0.870 0.960 0.979 0.992 1.011 1.050 1.063 1.072
0.0152 0.01508 6.60000 2.5146644115 2.5853797070    2.514  1.598  3.9978  4.184    0 0.775 0.907 0.993 1.010 1.022 1.041 1.079 1.092 1.100
